Name,Rating,Rating Count,Category,Full Address,Phone Number,Source City,Scrape Date
BEST BAKERY,4.5,21.0,Cake shop,"New Seelampur, New Delhi, Delhi, 110053",099681 95533,Delhi,2025-04-02 16:44:05
"Bakingo - Bakery in Shahpur Jat, New Delhi",4.6,1514.0,Bakery and Cake Shop,"New Seelampur, New Delhi, Delhi, 110053",099681 95533,Delhi,2025-04-02 16:44:05
Bread & More,4.3,445.0,Bakery and Cake Shop,"C/21, Cross Rd 7, Block C, Vasant Vihar, New Delhi, Delhi 110057",011 4100 4855,Delhi,2025-04-02 16:44:05
"FNP Cakes - Bakery & Cake Shop in MAYUR VIHAR PHASE-1, DELHI",4.8,84.0,Bakery and Cake Shop,"GROUND FLOOR,HO, 101, Khudi Ram Bose Marg, Pratap Nagar, Mayur Vihar, New Delhi, Delhi, 110091",093111 26796,Delhi,2025-04-02 16:44:05
TheBakers- Best No Fondant-Customised Cakes in Delhi,4.9,77.0,Bakery and Cake Shop,"A-13, Ashok Vihar, Saket, New Delhi, Delhi 110017",096508 57405,Delhi,2025-04-02 16:44:05
Delhi Baking Company,4.3,251.0,Patisserie,"Asset Area 4, Aerocity, Indira Gandhi International Airport, New Delhi, Delhi 110037",011 4521 2127,Delhi,2025-04-02 16:44:05
Bake Shop,4.8,32.0,Bakery and Cake Shop,"Shop No 6, 31, near Nagpal Corner, Old Double Storey, Vikram Vihar, Lajpat Nagar 4, Lajpat Nagar, Delhi, New Delhi, Delhi 110024",099532 91153,Delhi,2025-04-02 16:44:05
The Delhi Cupcakery (TDC),4.9,204.0,Cupcakes,"F-344A, First Floor, Saket, Old M B Road, Chatri Wala Kuan, Lado Sarai, New Delhi, Delhi 110030",081303 19166,Delhi,2025-04-02 16:44:05
Golden Bakery,4.0,1259.0,Bakery and Cake Shop,"101, Lodhi Rd, New Khanna Market, Lodhi Road Quarters, Lodi Colony, New Delhi, Delhi 110003",098108 78661,Delhi,2025-04-02 16:44:05
All Things Sweet Bakery,4.9,97.0,Cake shop,"Kalka Green Apartments, D-10, Shanti Kunj Main, Pocket 3, Sector D, Vasant Kunj, New Delhi, Delhi 110070",098994 04698,Delhi,2025-04-02 16:44:05
7th Heaven Bakery - Delhi,4.8,371.0,Bakery and Cake Shop,"Shop no. 2, Pandit Complex, Plot no. 3, opp. Mother Dairy Marg, opposite Bhandari dispensary, Block D, Pandav Nagar, Delhi, 110092",091422 48325,Delhi,2025-04-02 16:44:05
Defence Bakery SINCE 1962 GK2 MBlock,4.3,379.0,Bakery and Cake Shop,"7, M Block, Inder Mohan Bhardwaj Marg, Block M, Greater Kailash II, Market, New Delhi, Delhi 110048",011 4056 8076,Delhi,2025-04-02 16:44:05
Best Bakery,4.2,10.0,Bakery and Cake Shop,"K - 13 - C, near Krishna Mandir, Khirki Extension, Malviya Nagar, New Delhi, Delhi 110017",078384 17615,Delhi,2025-04-02 16:44:05
Amar Biscuits,4.8,67.0,Bakery and Cake Shop,"159, Bhagat Singh Market, Gole Market, New Delhi, Delhi 110001",098105 50472,Delhi,2025-04-02 16:44:05
Ever Bake,4.2,7082.0,Cake shop,"159, Bhagat Singh Market, Gole Market, New Delhi, Delhi 110001",098105 50472,Delhi,2025-04-02 16:44:05
Shell's Bakesmith - Best Bakery for Fresh Homemade and Eggless Cakes in Delhi NCR,5.0,86.0,Bakery and Cake Shop,"8/95, RAMESH NAGAR, NEW DELHI, NEW, Delhi, 110015",097110 20222,Delhi,2025-04-02 16:44:05
Theobroma,4.4,420.0,Bakery and Cake Shop,"Plot No. 10, Ground Floor, Main Market, Defence Colony, New Delhi, Delhi 110024",081828 81881,Delhi,2025-04-02 16:44:05
"FNP Cakes - Bakery & Cake Shop in Madhu Vihar, IP Extension, Delhi",4.7,52.0,Bakery and Cake Shop,"Plot No. 10, Ground Floor, Main Market, Defence Colony, New Delhi, Delhi 110024",081828 81881,Delhi,2025-04-02 16:44:05
Cake Connoisseur-Best customized cake shop in Delhi,4.9,100.0,Bakery and Cake Shop,"A-113, Gujranwala Town Part 1, Gujranwala Town, New Delhi, Delhi, 110009",090152 46380,Delhi,2025-04-02 16:44:05
Sidewalk,4.5,30.0,Bakery and Cake Shop,"Hyatt Regency 2 Hotel, Ring Rd, Bhikaji Cama Place, Rama Krishna Puram, New Delhi, Delhi 110066",011 6677 1304,Delhi,2025-04-02 16:44:05
Tuileries patisserie,4.6,225.0,Patisserie,"A 28, Industrial Area Phase I, Block A, Naraina Industrial Area Phase 1, Naraina, New Delhi, Delhi, 110028",099998 37015,Delhi,2025-04-02 16:44:05
Sunrise Bakery,4.7,79.0,Cake shop,"143/B, 143/b, Bala Sahib Gurudwara Rd, Bhagwan Nagar, Phase 2, Hari Nagar Ashram, New Delhi, Delhi 110014",098995 03355,Delhi,2025-04-02 16:44:05
Bread and More Gk,4.3,120.0,Bakery and Cake Shop,"N-17, N Block, Greater Kailash I, New Delhi, Delhi 110048",N/A,Delhi,2025-04-02 16:44:05
The Delhi Bakery,3.5,19.0,Bakery and Cake Shop,"952a/b, Nehru Rd, South Extension I, Arjun Nagar, Kotla Mubarakpur, New Delhi, Delhi 110003",N/A,Delhi,2025-04-02 16:44:05
Maxim's Bakers & Confectioners,4.5,3576.0,Bakery and Cake Shop,"HS -3 KAILASH COLONY MARKET, New Delhi, Delhi 110048",088104 34557,Delhi,2025-04-02 16:44:05
Oberoi Bakers,4.3,6.0,Bakery and Cake Shop,"1312, Mushtaq Rai Khanna Marg, Bazar Sangatrashan, Chuna Mandi, Paharganj, New Delhi, Delhi 110055",098112 41122,Delhi,2025-04-02 16:44:05
Miam Pâtisserie,4.4,264.0,Patisserie,"1312, Mushtaq Rai Khanna Marg, Bazar Sangatrashan, Chuna Mandi, Paharganj, New Delhi, Delhi 110055",098112 41122,Delhi,2025-04-02 16:44:05
The Master Bakers | Hudson Lane,4.7,435.0,Bakery and Cake Shop,"Ground Floor, 2523, Hudson Ln, Kingsway Camp, GTB Nagar, Delhi, 110009",087439 90330,Delhi,2025-04-02 16:44:05
Paris My Love,4.3,11.0,Bakery and Cake Shop,"1 st floor, Property no - 6 Lane no - 2, Westend Marg, near Keher Singh Estate, Saidulajab, Saket, Delhi 110068",N/A,Delhi,2025-04-02 16:44:05
Mr. Crust Bakers,4.3,6101.0,Bakery and Cake Shop,"B-29b, Vijay Nagar Marg, opposite Mother Dairy, Block B, Vijay Nagar, New Delhi, Delhi, 110009",097110 71071,Delhi,2025-04-02 16:44:05
Flavours Guru - #1 Bakery & Cake Shop in Delhi,4.5,1117.0,Bakery and Cake Shop,"2nd Floor, R-59, opposite Select Citywalk Mall, near Sai Baba Mandir, Khirki Extension, Block J, Khirki Extension, Malviya Nagar, New Delhi, Delhi 110017",081309 61414,Delhi,2025-04-02 16:44:05
take a bake,4.9,60.0,Bakery and Cake Shop,"C-9, Gate Number 6 Rd, near DPS, Pocket 9, Sector C, Vasant Kunj, New Delhi, Delhi 110070",099588 59720,Delhi,2025-04-02 16:44:05
L'Opera Khan Market,4.2,456.0,Patisserie,"Shop No. 5B, Khan Market, Rabindra Nagar, New Delhi, Delhi 110003",095999 60815,Delhi,2025-04-02 16:44:05
NIK BAKER'S,4.4,2064.0,Bakery and Cake Shop,"plot no 39, Club Rd, NEAR ANDHRA BANK, West Punjabi Bagh, Punjabi Bagh, Delhi, 110026",011 4573 3232,Delhi,2025-04-02 16:44:05
Anjlika Pastry Shop,4.2,1495.0,Bakery and Cake Shop,"F-146, Main Market, Block F, Rajouri Garden, New Delhi, Delhi 110027",011 4554 6208,Delhi,2025-04-02 16:44:05
Cakes by Delicious Factory - Bakery in Malviya Nagar,4.7,263.0,Bakery and Cake Shop,"D-89, Shvalik, DDA Flats, Malviya Nagar, New Delhi, Delhi 110017",098104 00531,Delhi,2025-04-02 16:44:05
Sugar Loft,4.2,10.0,Bakery and Cake Shop,"A1-18, 3rd floor, Safdarjung Enclave, New Delhi, Delhi 110029",098111 03032,Delhi,2025-04-02 16:44:05
New Delhi Bakers,4.8,4.0,Bakery and Cake Shop,"Shop Number-4 , 73/A Baba Gangnath Market Munirka Village, New Delhi, Delhi 110067",087003 81887,Delhi,2025-04-02 16:44:05
"Best Online Bakery Karol Bagh, Delhi",5.0,13.0,Bakery and Cake Shop,"S.No, 34, Desh Bandhu Gupta market, Karol Bagh, New Delhi, Delhi 110005",099711 21589,Delhi,2025-04-02 16:44:05
Pink Box - 100% Eggless Cakery & Dessert Bar,4.3,200.0,Bakery and Cake Shop,"S.No, 34, Desh Bandhu Gupta market, Karol Bagh, New Delhi, Delhi 110005",099711 21589,Delhi,2025-04-02 16:44:05
Design Your Cake - Designer Cakes South Delhi,5.0,15.0,Bakery and Cake Shop,"Metro Station Green Park, E-201, First Floor Gautam Nagar, Nearest, behind Aiims Hospital, New Delhi, Delhi 110049",085952 09899,Delhi,2025-04-02 16:44:05
New Bharat Bakery,4.5,30.0,Bakery and Cake Shop,"Metro Station Green Park, E-201, First Floor Gautam Nagar, Nearest, behind Aiims Hospital, New Delhi, Delhi 110049",085952 09899,Delhi,2025-04-02 16:44:05
Angels in My Kitchen,4.1,217.0,Bakery and Cake Shop,"Shop no 31, Defence Colony Main Market, New Delhi, Delhi 110024",011 4155 1122,Delhi,2025-04-02 16:44:05
Bakingo - Cake & Bakery Shop in Krishna Nagar,4.4,326.0,Bakery and Cake Shop,"Number 57, Metro, 64, First Floor, West Arjun Nagar, Street 2 Malook Singh Marg, Road, Station, behind Krishna Nagar, New Delhi, Delhi 110051",088825 53333,Delhi,2025-04-02 16:44:05
For the Love of Baking (Home Bakery- on order only),4.9,20.0,Bakery and Cake Shop,"D-13, First floor, Hakikat Rai Marg, Jungpura Extension, New Delhi, Delhi 110014",099587 80693,Delhi,2025-04-02 16:44:05
We BAKE Eggless,4.9,66.0,Patisserie,"M-4, Green Park, Main opposite axis bank, New Delhi, Delhi 110016",098735 36652,Delhi,2025-04-02 16:44:05
Deepak Bakery,5.0,3.0,Cake shop,"C 16, near Sadiq nagar, Block B, Sanwal Nagar, Sadiq Nagar, New Delhi, Delhi 110049",099714 63488,Delhi,2025-04-02 16:44:05
Heaven of cakes bakery,5.0,30.0,Bakery and Cake Shop,"H 17 LAJPAT NAGAR 1 Upper ground floor, New Delhi, New Delhi, Delhi 110024",N/A,Delhi,2025-04-02 16:44:05
Bakingo - Cake & Bakery Shop Hauz Khas,4.5,125.0,Bakery and Cake Shop,"9, Block M, Kharera, Hauz Khas, New Delhi, Delhi 110016",088825 53333,Delhi,2025-04-02 16:44:05
Cake Palace,4.0,251.0,Bakery and Cake Shop,"C-31, Market, Block C, Amar Colony, Lajpat Nagar, New Delhi, Delhi 110024",011 4104 9870,Delhi,2025-04-02 16:44:05
Whipped,4.1,772.0,Cake shop,"S-375, Inder Mohan Bhardwaj Marg, Block S, Greater Kailash II, Greater Kailash, New Delhi, Delhi 110048",063664 48868,Delhi,2025-04-02 16:44:05
Mum cafe & bakery,4.7,95.0,Bakery and Cake Shop,"S-375, Inder Mohan Bhardwaj Marg, Block S, Greater Kailash II, Greater Kailash, New Delhi, Delhi 110048",063664 48868,Delhi,2025-04-02 16:44:05
"FNP Cakes - Cake Delivery in West Patel Nagar, Delhi",4.8,61.0,Bakery and Cake Shop,"L-31, Vinay Gulati Marg, W.P Nagar, Block L, West Patel Nagar, Patel Nagar, New Delhi, Delhi, 110008",085957 10802,Delhi,2025-04-02 16:44:05
Online Cake Delivery Delhi,4.6,38.0,Bakery and Cake Shop,"L-31, Vinay Gulati Marg, W.P Nagar, Block L, West Patel Nagar, Patel Nagar, New Delhi, Delhi, 110008",085957 10802,Delhi,2025-04-02 16:44:05
Roop Sagar Bakery,4.1,95.0,Bakery and Cake Shop,"Roopsagar Bakery, Indian Institute of Technology Delhi, Hauz Khas, New Delhi, Delhi 110016",078381 18004,Delhi,2025-04-02 16:44:05
Ram Bakery,4.3,47.0,Bakery and Cake Shop,"Shop No :- WZ, 131 D, Naraina Village, Naraina, Delhi, New Delhi, Delhi 110028",N/A,Delhi,2025-04-02 16:44:05
New Arora Bakers,4.4,232.0,Bakery and Cake Shop,"18, Karbala Rd, Aliganj, Block C1, BK Dutt Colony, New Delhi, Delhi 110003",N/A,Delhi,2025-04-02 16:44:05
Chander Bakery,4.5,4.0,Bakery and Cake Shop,"Shop No 55, Krishna Market, Block E, Lajpat Nagar I, Lajpat Nagar, Delhi NCR, New Delhi, Delhi 110024",088603 68338,Delhi,2025-04-02 16:44:05
Charu Nanda’s Home Baked Cakes,5.0,2.0,Bakery and Cake Shop,"34 C 2, Block C 2, Safdarjung Development Area, Hauz Khas, New Delhi, Delhi 110016",N/A,Delhi,2025-04-02 16:44:05
The Baker's Oven,3.3,19.0,Bakery and Cake Shop,"D-1 , Regal Building, Parliament Street, Near Allahabad Bank, Connaught Place, New Delhi, Delhi 110001",098108 12576,Delhi,2025-04-02 16:44:05
National Bakery,4.4,51.0,Bakery and Cake Shop,"1376, Kalan Mahal, Daryaganj, New Delhi, Delhi, 110002",095603 49739,Delhi,2025-04-02 16:44:05
PIE IN THE SKY | BEST BAKERY IN VIKASPURI,4.8,20.0,Bakery and Cake Shop,"GG-2, near Baskin robins, Block GG 2, Vikaspuri, Delhi, 110018",099993 34205,Delhi,2025-04-02 16:44:05
L'Opéra,4.2,116.0,Bakery and Cake Shop,"Epicuria Mall, LGF, Nehru Place Metro Station, Nehru Place, New Delhi, Delhi 110019",095999 60818,Delhi,2025-04-02 16:44:05
Advance Cakery and Bakery,4.2,401.0,Bakery and Cake Shop,"A/ 8, Patpar Ganj Rd, Shiv Puri, Chander Nagar, Krishna Nagar, New Delhi, Delhi, 110051",098994 54554,Delhi,2025-04-02 16:44:05
Creme N Crisp,4.1,985.0,Cake shop,"A/ 8, Patpar Ganj Rd, Shiv Puri, Chander Nagar, Krishna Nagar, New Delhi, Delhi, 110051",098994 54554,Delhi,2025-04-02 16:44:05
Bakesto,5.0,68.0,Bakery and Cake Shop,"17/402, Keshav Puram, Mayur Vihar Phase I, Block 17, Kalyan Puri, Delhi, 110091",N/A,Delhi,2025-04-02 16:44:05
Pink box,4.0,220.0,Bakery and Cake Shop,"L-9/1 ground floor, Connaught Place, New Delhi, Delhi 110001",095605 60084,Delhi,2025-04-02 16:44:05
Best bakery Chhattarpur,4.4,24.0,Cake shop,"L-9/1 ground floor, Connaught Place, New Delhi, Delhi 110001",095605 60084,Delhi,2025-04-02 16:44:05
MINISTRY OF CAKES,4.2,503.0,Bakery and Cake Shop,"8757, Multani Dhanda, Paharganj, New Delhi, Delhi 110055",098731 07676,Delhi,2025-04-02 16:44:05
Janta Bakery,4.3,2757.0,Bakery and Cake Shop,"43, Central Rd, Jangpura, Samman Bazar, Bhogal, New Delhi, Delhi 110014",097113 25325,Delhi,2025-04-02 16:44:05
Sibang Bakery,4.0,65.0,Bakery and Cake Shop,"43, Central Rd, Jangpura, Samman Bazar, Bhogal, New Delhi, Delhi 110014",097113 25325,Delhi,2025-04-02 16:44:05
Bakeoff Boutique Bakery,4.7,33.0,Bakery and Cake Shop,"K, 29, near Central market, Block K, Lajpat Nagar II, Lajpat Nagar, New Delhi, Delhi 110024",098990 41412,Delhi,2025-04-02 16:44:05
Bread Talk,4.2,375.0,Bakery and Cake Shop,"K, 29, near Central market, Block K, Lajpat Nagar II, Lajpat Nagar, New Delhi, Delhi 110024",098990 41412,Delhi,2025-04-02 16:44:05
WINNI Cakes & More,4.7,124.0,Bakery and Cake Shop,"282 Shop No 4, Moti Bagh II, Satya Niketan, South Moti Bagh, New Delhi, Delhi 110021",099910 21018,Delhi,2025-04-02 16:44:05
Narula Bakery by SK Cakes,4.1,1071.0,Bakery and Cake Shop,"282 Shop No 4, Moti Bagh II, Satya Niketan, South Moti Bagh, New Delhi, Delhi 110021",099910 21018,Delhi,2025-04-02 16:44:05
Pankaj Bakery,4.6,7.0,Bakery and Cake Shop,"H752+V32, 27/1, Main Market, Shera Mohalla, Garhi, East of Kailash, New Delhi, Delhi 110065",099119 12446,Delhi,2025-04-02 16:44:05
Diamond Bakers,4.3,314.0,Bakery and Cake Shop,"H752+V32, 27/1, Main Market, Shera Mohalla, Garhi, East of Kailash, New Delhi, Delhi 110065",099119 12446,Delhi,2025-04-02 16:44:05
"Theobroma Bakery and Cake Shop - South Extension 2, New Delhi",4.0,127.0,Cake shop,"Pushpa Rd, South Extension, Block B, New Delhi, Delhi 110049",081828 81881,Delhi,2025-04-02 16:44:05
Mittal's Bakery,3.9,103.0,Bakery and Cake Shop,"Pushpa Rd, South Extension, Block B, New Delhi, Delhi 110049",081828 81881,Delhi,2025-04-02 16:44:05
"Naavjot baake (Home Baker,Customized Cakes, Theme cake,Birthday Cakes, Cupcakes, Homebaker Cakes in North Delhi )",4.7,6.0,Bakery and Cake Shop,"part 2, Priyadarshini Vihar, Kalyan Vihar, Delhi, 110009",095995 71614,Delhi,2025-04-02 16:44:05
Best cakes in delhi-The house of cakes Tilak nagar,4.7,27.0,Bakery and Cake Shop,"part 2, Priyadarshini Vihar, Kalyan Vihar, Delhi, 110009",095995 71614,Delhi,2025-04-02 16:44:05
Neonbaking Cakes,4.9,126.0,Bakery and Cake Shop,N/A,N/A,Delhi,2025-04-02 16:44:05
Binge - Bakery & More,4.3,524.0,Bakery and Cake Shop,"A-7, Kailash Colony Rd, Block A, Kailash Colony, Greater Kailash, New Delhi, Delhi 110048",092052 75855,Delhi,2025-04-02 16:44:05
Al zahid Baker's choice,4.6,9.0,Bakery and Cake Shop,"A-7, Kailash Colony Rd, Block A, Kailash Colony, Greater Kailash, New Delhi, Delhi 110048",092052 75855,Delhi,2025-04-02 16:44:05
THEOS RK PURAM DELHI,4.0,443.0,Bakery and Cake Shop,"Unit No. 07, Sangam Courtyard, Major Somnath Marg, KD Colony, Sector 9, Rama Krishna Puram, New Delhi, Delhi 110022",087502 52224,Delhi,2025-04-02 16:44:05
Quality Cake Shop,4.0,319.0,Bakery and Cake Shop,"Unit No. 07, Sangam Courtyard, Major Somnath Marg, KD Colony, Sector 9, Rama Krishna Puram, New Delhi, Delhi 110022",087502 52224,Delhi,2025-04-02 16:44:05
Best bakery in Delhi,5.0,1.0,Bakery and Cake Shop,"near Mother dairy, Mayur Vihar Phase I, Khichripur, Delhi, 110091",N/A,Delhi,2025-04-02 16:44:05
"Theobroma Bakery and Cake Shop - East Patel Nagar, New Delhi",3.2,66.0,Cake shop,"Shop No 18, 28, Block 18, East Patel Nagar, Market, New Delhi, Delhi 110008",081828 81881,Delhi,2025-04-02 16:44:05
Puri Bakers,4.2,2030.0,Bakery and Cake Shop,"A3, 264, opposite ICICI Bank, Police Colony, A 3 Block, Paschim Vihar, New Delhi, Delhi, 110063",011 4735 4687,Delhi,2025-04-02 16:44:05
Diamond Bakery,4.1,144.0,Bakery and Cake Shop,"A3, 264, opposite ICICI Bank, Police Colony, A 3 Block, Paschim Vihar, New Delhi, Delhi, 110063",011 4735 4687,Delhi,2025-04-02 16:44:05
Chawla Baker's Delhi,4.0,189.0,Bakery and Cake Shop,"Mandir Wali Gali, Shadipur, New Delhi, Delhi, 110008",098111 33955,Delhi,2025-04-02 16:44:05
"Theobroma Bakery and Cake Shop - Saket, New Delhi",4.2,518.0,Cake shop,"Mandir Wali Gali, Shadipur, New Delhi, Delhi, 110008",098111 33955,Delhi,2025-04-02 16:44:05
Duffins Cakes and Bakes,4.9,1610.0,Bakery and Cake Shop,"1147, Old Delhi Gurgaon Rd, opposite amarai farms, Kapas Hera Extension, Kapas Hera, New Delhi, Delhi 110037",095400 00952,Delhi,2025-04-02 16:44:05
Authentique Bites Designer Cakes & Baking classes,4.7,284.0,Bakery and Cake Shop,"1147, Old Delhi Gurgaon Rd, opposite amarai farms, Kapas Hera Extension, Kapas Hera, New Delhi, Delhi 110037",095400 00952,Delhi,2025-04-02 16:44:05
Suchali's Artisan Bake House - Vasant Vihar,3.3,34.0,Bakery and Cake Shop,"PVR Priya, Market, Basant Lok, Vasant Vihar, New Delhi, Delhi 110057",N/A,Delhi,2025-04-02 16:44:05
The Standard Pastry Shop : Apis Baker's Factory,4.0,261.0,Bakery and Cake Shop,"Shop no 33, Block 18, W Patel Nagar Rd, Block 18, East Patel Nagar, Patel Nagar, New Delhi, Delhi 110008",011 4320 6661,Delhi,2025-04-02 16:44:05
Famous Bakers,4.4,25.0,Bakery and Cake Shop,"Shop no 33, Block 18, W Patel Nagar Rd, Block 18, East Patel Nagar, Patel Nagar, New Delhi, Delhi 110008",011 4320 6661,Delhi,2025-04-02 16:44:05
Supreme Sweets & Snacks,4.2,4628.0,Bakery and Cake Shop,"Sector 8 Market, Shop No.17, Rama Krishna Puram, New Delhi, Delhi 110022",011 2618 7237,Delhi,2025-04-02 16:44:05
Bangla Pastry Shop,4.2,391.0,Pastries,"Sector 8 Market, Shop No.17, Rama Krishna Puram, New Delhi, Delhi 110022",011 2618 7237,Delhi,2025-04-02 16:44:05
Sachdeva Bakery,4.2,345.0,Bakery and Cake Shop,"Shop No, 125, Bangla Sahib Rd, Sector 3, DIZ Area, Gole Market, New Delhi, Delhi 110001",099994 23322,Delhi,2025-04-02 16:44:05
MEETTE ATELIER PATISSER,4.0,108.0,Patisserie,"Shop no.6, First Floor, opp, Main Road, Khan Market, New Delhi, Delhi 110003",093543 24523,Delhi,2025-04-02 16:44:05
"Theobroma Bakery and Cake Shop - Powai, Mumbai",4.4,4026.0,Cake shop,"SHOP NUMBER 8, GROUND FLOOR, Central Ave, next to Kotak Bank, Hiranandani Gardens, Powai, Mumbai, Maharashtra 400076",081828 81881,Mumbai,2025-04-02 16:51:29
B. Merwan & Co.,4.3,5149.0,Bakery and Cake Shop,"SHOP NUMBER 8, GROUND FLOOR, Central Ave, next to Kotak Bank, Hiranandani Gardens, Powai, Mumbai, Maharashtra 400076",081828 81881,Mumbai,2025-04-02 16:51:29
Yazdani Restaurant & Bakery,4.2,2338.0,Bakery and Cake Shop,"11A, Cawasji Patel Rd, Kala Ghoda, Fort, Mumbai, Maharashtra 400001",N/A,Mumbai,2025-04-02 16:51:29
Bake Ur Day... a Custom Cakery - Cake Shop in Ghatkopar,4.4,607.0,Bakery and Cake Shop,"Shop No. 8, Noor Mohammad compound, Lal Bahadur Shastri Marg, opposite Wadhwa The Address, near R City Mall, Amrut Nagar, Ghatkopar West, Mumbai, Maharashtra 400086",080808 00511,Mumbai,2025-04-02 16:51:29
Pinka Bake House,4.9,401.0,Cake shop,"Ground Floor, Galleria Shopping Mall, near rainbow juice center, Hiranandani Gardens, Panchkutir Ganesh Nagar, Powai, Mumbai, Maharashtra 400076",086526 64108,Mumbai,2025-04-02 16:51:29
Fantasy The Cake Shop,4.9,184.0,Cake shop,"Shop no.4, Cinderella Bldg, A Wing, Main Gate Rd, opp. IIT, next to Hiranandani Hospital, BSNL Colony, Powai, Mumbai, Maharashtra 400076",098202 30132,Mumbai,2025-04-02 16:51:29
Elementaria Bakery Cafe,4.2,855.0,Bakery and Cake Shop,"B, Kamala Mills Compound, Unit no 7, Trade World, Lower Parel, Mumbai, Maharashtra 400013",077380 99212,Mumbai,2025-04-02 16:51:29
Bombay Baking Company,4.5,248.0,Bakery and Cake Shop,"Jw Marriott Mumbai Juhu, Jw Marriott, Juhu Tara Rd, Juhu Tara, Juhu, Mumbai, Maharashtra 400049",022 6693 3344,Mumbai,2025-04-02 16:51:29
Country Of Origin,4.5,212.0,Bakery and Cake Shop,"69A, Maneesha Building, Opp. Urvashi Bldg. Petit Hall, Nepean Sea Road, Mumbai, Maharashtra 400006",098200 34747,Mumbai,2025-04-02 16:51:29
Miss Baker Mamta,4.9,302.0,Bakery and Cake Shop,"Transit Camps, shivalik ventures, 309/ B wing, Golibar Rd, Santacruz East, Mumbai, Maharashtra 400051",077189 61364,Mumbai,2025-04-02 16:51:29
Theobroma,4.4,3939.0,Bakery and Cake Shop,"Shop No 24, Cusrow Baug, Shahid Bhagat Singh Road, Colaba Causeway, Colaba, Mumbai, Maharashtra 400005",081828 81881,Mumbai,2025-04-02 16:51:29
Le15 Patisserie,4.3,883.0,Bakery and Cake Shop,"Louis Bell Building, TPS 3, 16th Rd, opp. Shree Sagar Restaurant, Bandra West, Mumbai, Maharashtra 400052",097690 77309,Mumbai,2025-04-02 16:51:29
Baker's Delight by Pooja | Best Homemade Cakes in Mumbai | Cake Artist in Mumbai |,4.9,131.0,Bakery and Cake Shop,"Brindaban II, off Mahakali Caves Road, Poonam Nagar, Andheri East, Mumbai, Maharashtra 400093",084240 18389,Mumbai,2025-04-02 16:51:29
